Rating,Reviews,Clean_Reviews,Word_Count
3,"My fiance had this phone previously, but caused many problems. So, of course, we decided to browse amazon for a replacement til' our contract is up! & so far so good!",my fiance had this phone previously but caused many problems so of course we decided to browse amazon for a replacement til our contract is up so far so good,30
5,"This is a great product it came after two days of ordering it. There was only one little blemish on the side,but who cares as long as the phone is fullly functional.i recommend this product to anyone reading this.",this is a great product it came after two days of ordering it there was only one little blemish on the side but who cares as long as the phone is fullly functional i recommend this product to anyone reading this,41
5,These guys are the best! I had a little situation with my item but they quickly fixed the issue. I was pleased and will definitely be buying another phon from them if I need one.,these guys are the best i had a little situation with my item but they quickly fixed the issue i was pleased and will definitely be buying another phon from them if i need one,35
1,I'm really disappointed about my phone and service. The phone went out on me over a week ago. Instead of handling it when issue first surfaced. I've been told to do this and do that. Now I'm stick with no phone and I'm out 55 dollars for service that I'm not using. I still haven't received a mailing label to return item. This was my first purchase on amazon. I'm not rushing to use theirs or smartphones 288 business Anytime soon. I thought I was getting a deal but it seems like I'm the one who lucked out.,i m really disappointed about my phone and service the phone went out on me over a week ago instead of handling it when issue first surfaced i ve been told to do this and do that now i m stick with no phone and i m out dollars for service that i m not using i still haven t received a mailing label to return item this was my first purchase on amazon i m not rushing to use theirs or smartphones business anytime soon i thought i was getting a deal but it seems like i m the one who lucked out,104
5,Ordered this phone as a replacement for the same model until my contract expires and I can get a new one. Seller confirmation said delivery could take up to 7 days. Seller sent out the phone within hours of receiving the order and I had the phone the next day. Phone looks better than described was able to transfer data from the old one to the new one with no problems. Highly recommend this seller,ordered this phone as a replacement for the same model until my contract expires and i can get a new one seller confirmation said delivery could take up to days seller sent out the phone within hours of receiving the order and i had the phone the next day phone looks better than described was able to transfer data from the old one to the new one with no problems highly recommend this seller,74
2,"Had this phone before and loved it but was not working so I got this phone. One thing is the SD card slot does not open up when I try to access it in file managment, even does not show up on the computer. The card is fine was able to open on another phone. Trying to trouble shoot it for now.",had this phone before and loved it but was not working so i got this phone one thing is the sd card slot does not open up when i try to access it in file managment even does not show up on the computer the card is fine was able to open on another phone trying to trouble shoot it for now,62
5,"I was able to get the phone I previously owned...with a keyboard and touch screen. It's the best phone and I love it. I still had to clean the device with my service provider, but it was well worth it.",i was able to get the phone i previously owned with a keyboard and touch screen it s the best phone and i love it i still had to clean the device with my service provider but it was well worth it,42
5,"I brought this phone as a replacement for my daughter, who is very hard on cell phones. I must say it was a great purchase. The phone work wonderful. Thank you",i brought this phone as a replacement for my daughter who is very hard on cell phones i must say it was a great purchase the phone work wonderful thank you,31
4,I love the phone. It does everything I need and works great. I purchased four of these phones through a seller that shipped from Amazon's warehouse. My only problem is that the phone didn't come with a micro sd card. I couldn't use the camera until I got the card. No problems getting these activated at Sprint.,i love the phone it does everything i need and works great i purchased four of these phones through a seller that shipped from amazon s warehouse my only problem is that the phone didn t come with a micro sd card i couldn t use the camera until i got the card no problems getting these activated at sprint,60
3,"unfortunately Sprint could not activate the phone due to the blocking issue with the phone, the matter was handled very well and quickly. Very satisfied with the service.",unfortunately sprint could not activate the phone due to the blocking issue with the phone the matter was handled very well and quickly very satisfied with the service,28
4,"The battery was old & had been over used because it barely holds a charge. Otherwise, no issues with the phone itself.",the battery was old had been over used because it barely holds a charge otherwise no issues with the phone itself,21
4,"pros-beautiful screen,capable of running chrome,take good pictures,the keyboard is comfy,fits in my pocket and fit my hands,plays really good videos and gamescons-no Bluetooth,came late,run down fast really quick,doesnt play 1080p videos.but I would still recommend it to those who like to talk and text a lot like me and watch a lot of movies",pros beautiful screen capable of running chrome take good pictures the keyboard is comfy fits in my pocket and fit my hands plays really good videos and gamescons no bluetooth came late run down fast really quick doesnt play p videos but i would still recommend it to those who like to talk and text a lot like me and watch a lot of movies,65
1,I purchased this phone in December as a christmas present to my son. I called sprint to activate the phone only to find out the ESN wasn't clear. I was told to come into the store and upon research the phone wasn't clear. I reached out to this company to inform them that this ESN wasn't clean. I was told to send the phone back and they would send out another phone. I asked the representative to provide me with the ESN # so that I could call and make sure it was clear. I was told that they didn't have to phone available and was guaranteed it would be clear. I should've known something was wrong then. I received a second phone that turned out not have a clear ESN. The representative at Sprint informed me that the seller of these phones are aware the the ESN isn't clear. So once again I had to send another phone back. I asked for a refund for the phone and shipping since the sent me two phones that didn't have a clear ESN. I received my refund for the phone but have yet to see a refund for the shipping. I wouldn't suggest you buy anything from them.,i purchased this phone in december as a christmas present to my son i called sprint to activate the phone only to find out the esn wasn t clear i was told to come into the store and upon research the phone wasn t clear i reached out to this company to inform them that this esn wasn t clean i was told to send the phone back and they would send out another phone i asked the representative to provide me with the esn so that i could call and make sure it was clear i was told that they didn t have to phone available and was guaranteed it would be clear i should ve known something was wrong then i received a second phone that turned out not have a clear esn the representative at sprint informed me that the seller of these phones are aware the the esn isn t clear so once again i had to send another phone back i asked for a refund for the phone and shipping since the sent me two phones that didn t have a clear esn i received my refund for the phone but have yet to see a refund for the shipping i wouldn t suggest you buy anything from them,214
4,Phone good just a little slow phone old but it's a great phone temporary right now. thank you for the great deal,phone good just a little slow phone old but it s a great phone temporary right now thank you for the great deal,23
4,Phone's speaker little low. Overall very happy with the phone. I would purchase another cell phone from Chubbietech. I am satisfied.,phone s speaker little low overall very happy with the phone i would purchase another cell phone from chubbietech i am satisfied,22
5,the phone was great and in good condition. My Daughter is so happy the be a andriod user now !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,the phone was great and in good condition my daughter is so happy the be a andriod user now,19
3,"the reasons for the 3 star rating was it was in my opinion better than my iphone 4s but it tends to randomly crash, and randomly power off but it is good for storage space, battery usage, and camera",the reasons for the star rating was it was in my opinion better than my iphone s but it tends to randomly crash and randomly power off but it is good for storage space battery usage and camera,38
5,Phone works great. No problems at all,phone works great no problems at all,7
1,was not in good condition but does work good,was not in good condition but does work good,9
1,"Just... not good. The phone has great screen resolution, storage is low, you need an SD card to do anything. May have a clear ESN but don't expect to use it with things like Freedompop.",just not good the phone has great screen resolution storage is low you need an sd card to do anything may have a clear esn but don t expect to use it with things like freedompop,36
5,"as described, fast ship!",as described fast ship,4
5,Perfect in every way.,perfect in every way,4
2,One of the phones have a bad charger port. I want to send it back,one of the phones have a bad charger port i want to send it back,15
5,Just got this phone and it is a great phone. It's easy to use.,just got this phone and it is a great phone it s easy to use,15
5,The phone was great but it had gotten old so it was time for a replacement.it was great while it lasted.,the phone was great but it had gotten old so it was time for a replacement it was great while it lasted,22
5,This phone came in great condition! Great price and it brings back great memories of owning this phone!,this phone came in great condition great price and it brings back great memories of owning this phone,18
5,Met all of my expectations. I can't complain at all. Great price!,met all of my expectations i can t complain at all great price,13
5,"Phone is working on, I was planning to use it for whatsapp anyway. The oh problem, I can't change the idiom",phone is working on i was planning to use it for whatsapp anyway the oh problem i can t change the idiom,22
5,excellent product in perfect condition,excellent product in perfect condition,5
5,excellent,excellent,1
5,excelente,excelente,1
5,excelente,excelente,1
2,I like these phone I bought it for my mom and she loves it,i like these phone i bought it for my mom and she loves it,14
2,It came with arabian keyboard :(,it came with arabian keyboard,5
3,"I love the phone, but one problem and one problem only............once the mic goes that's it. No more mic. But it can take a beating.",i love the phone but one problem and one problem only once the mic goes that s it no more mic but it can take a beating,27
5,I love it!,i love it,3
5,Very practical and user-friendly phone. I am very satisfied with it.,very practical and user friendly phone i am very satisfied with it,12
5,Sharp and classy phone,sharp and classy phone,4
5,very good,very good,2
5,100% gooddd!,gooddd,1
5,Shipped quickly and was exactly what I expected!,shipped quickly and was exactly what i expected,8
4,Works wonderful for the price!,works wonderful for the price,5
5,"Bought this as an alternative to a smart phone and data plan. I use it with Go-Phone on a pay-as-you-go plan. The phone functions are great. The radio and music players are very good sound quality. The smart phone type features are easier and faster to use than any smart phone I have used. There are some software glitches that are documented on the Nokia support site which proved easily fixed. Even though many of the Nokia based features are no longer supported by Microsoft, you can still use the features needed by accessing the web directly via WIFI connection - or data if you want to pay for the privilege - and launching the site/application from there. Although the new Nokia browser is pretty Spartan in appearance, it is fast and runs with good stability. I am a very big guy with lands large even for my size and I find the full qwerty keyboard to be pretty easy to use. I like the programmable hot keys and on-screen shortcuts. Keeps you from launching items that require data connections by accident. The back lighting is thorough and even and the raised buttons are tactile with a positive click response. The phone does have a few quirks. There is no airplane mode as far as I can tell. The flight profile doesn't seem to be able to be set with the broadcasting and receiving functions turned off. The main navigation button/mouse is a little small and doesn't always respond as expected - that might be me though. All in all I would recommend this phone and vendor highly if you want the features of a smart phone but you don't need GPS or a big data bill every month for a bunch of things you don't need or want to keep you life running smoothly.",bought this as an alternative to a smart phone and data plan i use it with go phone on a pay as you go plan the phone functions are great the radio and music players are very good sound quality the smart phone type features are easier and faster to use than any smart phone i have used there are some software glitches that are documented on the nokia support site which proved easily fixed even though many of the nokia based features are no longer supported by microsoft you can still use the features needed by accessing the web directly via wifi connection or data if you want to pay for the privilege and launching the site application from there although the new nokia browser is pretty spartan in appearance it is fast and runs with good stability i am a very big guy with lands large even for my size and i find the full qwerty keyboard to be pretty easy to use i like the programmable hot keys and on screen shortcuts keeps you from launching items that require data connections by accident the back lighting is thorough and even and the raised buttons are tactile with a positive click response the phone does have a few quirks there is no airplane mode as far as i can tell the flight profile doesn t seem to be able to be set with the broadcasting and receiving functions turned off the main navigation button mouse is a little small and doesn t always respond as expected that might be me though all in all i would recommend this phone and vendor highly if you want the features of a smart phone but you don t need gps or a big data bill every month for a bunch of things you don t need or want to keep you life running smoothly,313
5,muy buen producto,muy buen producto,3
2,"This phone is trapped in 2001, if you want a simple phone get an old school flip phone. If you want something also for work get a blackberry or somthing new. This isn't even in the middle of those two, it's in another dimension. Nothing but frustration with this phone.",this phone is trapped in if you want a simple phone get an old school flip phone if you want something also for work get a blackberry or somthing new this isn t even in the middle of those two it s in another dimension nothing but frustration with this phone,51
5,Excellent,excellent,1
4,A friend mentioned this phone to me and it worth what he said. Thanks a lot my friend.,a friend mentioned this phone to me and it worth what he said thanks a lot my friend,18
5,"Used this unlocked GSM Nokia Asha 302 in the Philippines just recently (Jan-Feb 2015). Excellent, no problem with functionality. Bought a P40 SIM card at the airport & presto! It worked. I passed it on to my brother the instant I came back to the US. He will be visiting the Philippines soon. It was very easy to use. Having been used to smart phones w/ touch screen, I surprised myself when I worked w/ it easily not having read the instructions to operate it. I'll buy another one like this & definitely an upgraded version of this Nokia unlocked GSM phone.",used this unlocked gsm nokia asha in the philippines just recently jan feb excellent no problem with functionality bought a p sim card at the airport presto it worked i passed it on to my brother the instant i came back to the us he will be visiting the philippines soon it was very easy to use having been used to smart phones w touch screen i surprised myself when i worked w it easily not having read the instructions to operate it i ll buy another one like this definitely an upgraded version of this nokia unlocked gsm phone,100
5,Excelente,excelente,1
5,"Excellent phone for my youngest son, with walk in reasonable options, and quality first",excellent phone for my youngest son with walk in reasonable options and quality first,14
5,Excelente,excelente,1
5,solid phone,solid phone,2
5,Good choice,good choice,2
4,"perfect, practical, easy to handle, good resolution, well packed",perfect practical easy to handle good resolution well packed,9
5,excellent product !!....all right....i recommend....,excellent product all right i recommend,6
5,excelente,excelente,1
5,Excelente,excelente,1
5,"Nokia is the brand that can be used in telephone, good price, excellent team, was a gift to my daughter and she liked it, easy to use and very affordable price, I recommend it.",nokia is the brand that can be used in telephone good price excellent team was a gift to my daughter and she liked it easy to use and very affordable price i recommend it,34
4,"First off, let me say I've been a Nokia user since I had my first cell phone at age 16, ten years ago. Of course there was that one year where I ventured off into Samsung land but that phone died and back to Nokia I went. But I've always enjoyed Nokia phones.Second, I've been looking for a QWERTY phone with internet/video/mp3 playing capabilities and the Asha 302 fits it. It is a strong build, as I have dropped it numerous times and the phone is still intact. I like the keyboard as I am not a fan of touchscreens at all (which is why I didn't get the Asha 303). As far as sound I think it depends on your headphones. I had earbuds that produced a loudness of 93 decibels which made the listening experience mediocre but then I bought buds with a 110 db loudness and the sound is much better. Nokia Xpress is a bit sucky but I downloaded an Opera browser for the phone and it works slightly better so internet experience is pretty easy. I won't get into video games and SNS because I don't even do that on my PC so I don't have a reason to use it on my phone.My only wish is that the 302 had a built in antenna so I could listen to re radio without RDS earbuds. Other than that, it's a really great phone and for those who want to move up into Blackberrys but don't want to pay so much the Nokia Asha 302 is a great phone to start with.EDIT (October 3, 2013): I found a Gino 25cm 4 Section Telescoping Stainless Steel AM FM Radio Antenna 3.5mm Plug to use for playing the radio through the speaker. So now I'm really enjoying the phone for when I'm sitting outside with friends or at my desk.",first off let me say i ve been a nokia user since i had my first cell phone at age ten years ago of course there was that one year where i ventured off into samsung land but that phone died and back to nokia i went but i ve always enjoyed nokia phones second i ve been looking for a qwerty phone with internet video mp playing capabilities and the asha fits it it is a strong build as i have dropped it numerous times and the phone is still intact i like the keyboard as i am not a fan of touchscreens at all which is why i didn t get the asha as far as sound i think it depends on your headphones i had earbuds that produced a loudness of decibels which made the listening experience mediocre but then i bought buds with a db loudness and the sound is much better nokia xpress is a bit sucky but i downloaded an opera browser for the phone and it works slightly better so internet experience is pretty easy i won t get into video games and sns because i don t even do that on my pc so i don t have a reason to use it on my phone my only wish is that the had a built in antenna so i could listen to re radio without rds earbuds other than that it s a really great phone and for those who want to move up into blackberrys but don t want to pay so much the nokia asha is a great phone to start with edit october i found a gino cm section telescoping stainless steel am fm radio antenna mm plug to use for playing the radio through the speaker so now i m really enjoying the phone for when i m sitting outside with friends or at my desk,318
5,"Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTYDependableTraditional Nokia Menu'sNot Complicated like 'Smart Phones'DurableEasy to use on Straighttalk, Internet, WiFi, Bluetooth.",nokia asha unlocked gsm phone with mp camera video qwertydependabletraditional nokia menu snot complicated like smart phones durableeasy to use on straighttalk internet wifi bluetooth,25
5,"This is a solidly-built unlocked phone that is an update to the popular Nokia C3. It runs the S40 software which has its goods and bads. It has good reception and nice audio. The 3g supports 850 and 1900 bands (AT&T and T-mobile when it's hspa is refarmed from 1700/2100 to the 1900 pcs band.) + the 2100 band.The keyboard is pretty good, not as firm as other Nokia qwerty phones (e.g. E5), but comparable to the C3 keyboard. The one that I have is obviously for the world market, since it has some added European chars and symbols on the keypad. Wi-fi works fine, and Opera Mini installed and runs without problems - good way to go for a bit of web-surfing. I did not tried any of the e-mail or social clients. Text messaging can be set to 'normal' in-box or conversation modes. OVI store app does not seem to work that well. There are a couple of features that I found appealing: ability to backup the phone memory to the sd card; ability to lock the keypad with a passcode either manually or automatically after a set time. The battery is fairly good sized (BL-5J). The 'function' keys and the d-pad keys can all be re-assigned to user defined short-cuts. My opinion: it is a worthy update (3g) to the C3, not quite in the same league as the more expensive E5 which has the multi-tasking S60 software. For the price of around $110, it is an unlocked feature (gsm/3g) phone well worth considering, as long as one knows that one is getting a non-smart phone and that apps for S40 is very limited.",this is a solidly built unlocked phone that is an update to the popular nokia c it runs the s software which has its goods and bads it has good reception and nice audio the g supports and bands at t and t mobile when it s hspa is refarmed from to the pcs band the band the keyboard is pretty good not as firm as other nokia qwerty phones e g e but comparable to the c keyboard the one that i have is obviously for the world market since it has some added european chars and symbols on the keypad wi fi works fine and opera mini installed and runs without problems good way to go for a bit of web surfing i did not tried any of the e mail or social clients text messaging can be set to normal in box or conversation modes ovi store app does not seem to work that well there are a couple of features that i found appealing ability to backup the phone memory to the sd card ability to lock the keypad with a passcode either manually or automatically after a set time the battery is fairly good sized bl j the function keys and the d pad keys can all be re assigned to user defined short cuts my opinion it is a worthy update g to the c not quite in the same league as the more expensive e which has the multi tasking s software for the price of around it is an unlocked feature gsm g phone well worth considering as long as one knows that one is getting a non smart phone and that apps for s is very limited,286
1,"Hola, compramos dos teléfonos y vienieron totalente diferentes, uno vino con la batería dañada, se descarga de inmediato. El otro teléfono vino sin la tarjeta de memoria y los teclados y cargadores son muy distintos.Mi Tía y yo nos sentimos engañadas y defraudadas :(",hola compramos dos telefonos y vienieron totalente diferentes uno vino con la bateria danada se descarga de inmediato el otro telefono vino sin la tarjeta de memoria y los teclados y cargadores son muy distintos mi tia y yo nos sentimos enganadas y defraudadas,44
5,"THIS CELLPHONE IS VERY EASY FOR USING, IT HAS COMPLETE APPS FOR THE MOST IMPORTANT CONTACT WITH OTHER PEOPLE, MOST OF THEM ARE INCORPORATED AND I JUST HAD TO USE IT WITH WI FI CONNECTION, I AM SATISFIED WITH THIS PURCHASED IT IS A SIMPLE PHONE BUT COMPLETE AND IT IS THE MOST IMPORTANT...",this cellphone is very easy for using it has complete apps for the most important contact with other people most of them are incorporated and i just had to use it with wi fi connection i am satisfied with this purchased it is a simple phone but complete and it is the most important,54
5,GRACIAS ME LLEGO EL PROCTO QUE COMPRE Y LLEVO EN EL MOMENTO INDICADO Y EN UN BUEN ENVALAJE LO RECOMIENDO SASTIFACTORIAMENTE..,gracias me llego el procto que compre y llevo en el momento indicado y en un buen envalaje lo recomiendo sastifactoriamente,21
4,Freezes alot. But i bought primarily for playing back my music instead of my BB. Its a great phone for SMS and rings really loud. The body is strong and neat,freezes alot but i bought primarily for playing back my music instead of my bb its a great phone for sms and rings really loud the body is strong and neat,31
4,"The keys are a little hard to hit, and I didn't expect a Spanish keyboard. But overall, a very good phone.",the keys are a little hard to hit and i didn t expect a spanish keyboard but overall a very good phone,22
2,"Preface: This is not what would be considered a smartphone in the United States (Nothing on the par of Android, iPhone, or Windows Phone), it is basically a feature phone. Also, although it says here that it has a US warranty all of the warranty material it came with referenced Latin American countries so I am not sure if it is really covered under a US Warranty. I returned it during Amazon's return window so it wasn't an issue. Now for the phone review.Pros: The phone has a great keyboard. If you are familiar with the E-series phones its that type of keyboard. The interface is some sort of modified Symbian and I liked it in a lot of ways. The style of the hardware is attractive and the Gray is a nice color. The camera was pretty decent considering it is only 2 megapixels. For e-mail it's adequate.Cons: I'll start with the small issues and work up to the big problem that ultimately made me decide to return the phone. The onboard social network apps are not fully functional. You can update your Facebook or Twitter status but the rest of it is so-so. The Ovi store in general is a poor app store, but this phone isn't able to use many of them. Even the old Facebook app that I used on my old E71 (It used to be called Snaptu but Facebook has since renamed it to Facebook for Everyone) is incompatible with this phone as are most of the better apps in the Ovi store. The browser was mediocre, barely passable. Also, NO GPS for this phone. Nokia/Ovi Maps is incompatible which is too bad because that has always been a Nokia strength. That immediately eliminates this phone as a smart phone. With all of that said, I bought this phone for my wife and she really only needed a phone for texts and calls so we could have overlooked these things. The problem we could not overlook was the very shabby, flimsy piece of metal that was supposed to hold in place the standard sim card. This little piece of metal was barely attached to the phone and would not lock into place to hold down the sim card. Because the sim card would intermittently get lose inside the phone and constantly lose the signal. So we would have to take the battery out and re-adjust the sim card. Then it would work for a little while only to ultimately have to repeat the process. It was WAY more frustration than it was worth. It's too bad because as a basic phone for calls, texts, e-mail, and occasionally updating your Facebook/Twitter status; this phone has a lot of potential. Becuase of the problem with the sim card holder, however, it was essentially unusable. I have used Nokia phones for years (I use a Lumia 710 personally) and I am really surprised Nokia would do such a sloppy job on something as important as the part that holds the sim card in place. What a waste.",preface this is not what would be considered a smartphone in the united states nothing on the par of android iphone or windows phone it is basically a feature phone also although it says here that it has a us warranty all of the warranty material it came with referenced latin american countries so i am not sure if it is really covered under a us warranty i returned it during amazon s return window so it wasn t an issue now for the phone review pros the phone has a great keyboard if you are familiar with the e series phones its that type of keyboard the interface is some sort of modified symbian and i liked it in a lot of ways the style of the hardware is attractive and the gray is a nice color the camera was pretty decent considering it is only megapixels for e mail it s adequate cons i ll start with the small issues and work up to the big problem that ultimately made me decide to return the phone the onboard social network apps are not fully functional you can update your facebook or twitter status but the rest of it is so so the ovi store in general is a poor app store but this phone isn t able to use many of them even the old facebook app that i used on my old e it used to be called snaptu but facebook has since renamed it to facebook for everyone is incompatible with this phone as are most of the better apps in the ovi store the browser was mediocre barely passable also no gps for this phone nokia ovi maps is incompatible which is too bad because that has always been a nokia strength that immediately eliminates this phone as a smart phone with all of that said i bought this phone for my wife and she really only needed a phone for texts and calls so we could have overlooked these things the problem we could not overlook was the very shabby flimsy piece of metal that was supposed to hold in place the standard sim card this little piece of metal was barely attached to the phone and would not lock into place to hold down the sim card because the sim card would intermittently get lose inside the phone and constantly lose the signal so we would have to take the battery out and re adjust the sim card then it would work for a little while only to ultimately have to repeat the process it was way more frustration than it was worth it s too bad because as a basic phone for calls texts e mail and occasionally updating your facebook twitter status this phone has a lot of potential becuase of the problem with the sim card holder however it was essentially unusable i have used nokia phones for years i use a lumia personally and i am really surprised nokia would do such a sloppy job on something as important as the part that holds the sim card in place what a waste,523
5,"We just received the phone a few days ago. Put in the Consumer Cellular SIM card, and it is ready to go. The phone seems very nice even though we have not come close to discovering all of the things it will do. It has a large number of ring tones built in.",we just received the phone a few days ago put in the consumer cellular sim card and it is ready to go the phone seems very nice even though we have not come close to discovering all of the things it will do it has a large number of ring tones built in,53
5,"I bought this phone as a Christmas present for myself because I wanted something a bit more advanced than the Nokia C2 I purchased from Amazon in 2012, but didn't want to go all the way with a smartphone. In other words, a good feature phone with smartphone features without the touch screen. Red, however, is my favorite color, but I went for the white one because my C2 is silver and I couldn't find a silver Asha 302 on Amazon. I've had it for a week and it works great. Best is the Wi-Fi feature, which gives you access to the Web without purchasing a data plan (which I may have to do if I want to access personal email or go on Facebook). It has the great calendar, alarm clock, text messaging, camera, missed/received call and other features of the C2, which makes it a keeper. And it's a little bigger, with a wider screen, but not so big it can't fit into my pocket or purse. I can use the same Nokia charger I had for the C2. Now all I have to do is await the arrival of my purple phone skin, then I'll be all right. I've had Nokia phones since 1999 and they've never let me down - just get better!",i bought this phone as a christmas present for myself because i wanted something a bit more advanced than the nokia c i purchased from amazon in but didn t want to go all the way with a smartphone in other words a good feature phone with smartphone features without the touch screen red however is my favorite color but i went for the white one because my c is silver and i couldn t find a silver asha on amazon i ve had it for a week and it works great best is the wi fi feature which gives you access to the web without purchasing a data plan which i may have to do if i want to access personal email or go on facebook it has the great calendar alarm clock text messaging camera missed received call and other features of the c which makes it a keeper and it s a little bigger with a wider screen but not so big it can t fit into my pocket or purse i can use the same nokia charger i had for the c now all i have to do is await the arrival of my purple phone skin then i ll be all right i ve had nokia phones since and they ve never let me down just get better,223
4,"The Phone is pretty good. I am using it with a LycaMobile plan. Only thing that is awkward is that the bottom row of letters is off compared to other phones and devices. Before this I had been using a blackberry. When trying to type on the nokia I am always mistyping Ms, Ns and espectially the shift key (which you need to hit to insert any punctuation)",the phone is pretty good i am using it with a lycamobile plan only thing that is awkward is that the bottom row of letters is off compared to other phones and devices before this i had been using a blackberry when trying to type on the nokia i am always mistyping ms ns and espectially the shift key which you need to hit to insert any punctuation,68
5,loved everything about it. also it looks like any other touch phone but is not. which makes it stylish yet classic.,loved everything about it also it looks like any other touch phone but is not which makes it stylish yet classic,21
5,THIS IS A SOLUTION IF YOU WANT YOU ARE LOOKING FOR ECONOMIC AND NOT VERY SOPHISTICATED. YOUR PRICE IS A GOOD CHOICE FOR THE PRODUCT THAT RECEIVE.rECOMMEND IT,this is a solution if you want you are looking for economic and not very sophisticated your price is a good choice for the product that receive recommend it,29
5,This phone in an excellent phone at a great price. I was impressed with the features of this phone and would recommend this to anyone.,this phone in an excellent phone at a great price i was impressed with the features of this phone and would recommend this to anyone,25
3,"Have problems setting correct time on Nokia Asha 302. Customer support on Nokia.com does not accept inquiry about Asha 302 phones. Is this product obsolete, or is Nokia customer support poor? Booklet that came with phone is also poorly written.",have problems setting correct time on nokia asha customer support on nokia com does not accept inquiry about asha phones is this product obsolete or is nokia customer support poor booklet that came with phone is also poorly written,39
4,"This is a good phone although it seems to have a small screen. However, it's capable of performing all the basic functions such as calling, messaging, web browsing, social networking and it also has a wi-fi capability.",this is a good phone although it seems to have a small screen however it s capable of performing all the basic functions such as calling messaging web browsing social networking and it also has a wi fi capability,39
